Ticket_ID,Date,Machine,Description
748,2023-09-07,Optikai Mérő-Delta,A csapágyak extrém kopást mutatnak.
749,2023-09-07,Optikai Mérő-X,Porfelhalmozódás az optikai szenzoron.
750,2023-09-07,Robot 2,A berendezés érzékelője hamis riasztásokat generál.
751,2023-09-08,Emelőkar-3,A hőmérséklet érzékelő nem reagál a tesztparancsokra.
752,2023-09-08,Fúró-5,A szivattyú működése közben szokatlan zaj hallható.
753,2023-09-08,Lézeres Vágó-A,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
754,2023-09-09,CNC-Pro,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
755,2023-09-09,Fúró-5,A pneumatikus rendszer tömítetlenséget mutat.
756,2023-09-09,Szenzorvezérlő-1,Az áramellátás stabilitása nem garantálható a jelenlegi terhelés mellett.
757,2023-09-10,CNC-3,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
758,2023-09-10,Optikai Mérő-Delta,Firmware inkompatibilitás frissítés után.
759,2023-09-10,Maró-Z,A pneumatikus csatlakozók között nyomásveszteség tapasztalható.
760,2023-09-11,Emelőkar-Pro,Igazítási probléma a robotkarban.
761,2023-09-11,Maró-8,A vezérlőpanel időnként nem reagál.
762,2023-09-11,Optikai Mérő-Delta,A vákuumrendszer szivárgást jelez.
763,2023-09-12,Hidraulikus prés-4,A szenzor kalibrálása sikertelen volt.
764,2023-09-12,Maró-8,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
765,2023-09-12,Fúró-X,A vészleállító ok nélkül aktiválódott.
766,2023-09-13,Emelőkar-Pro,A vészleállító ok nélkül aktiválódott.
767,2023-09-13,Fúró-5,A lánchajtás mechanikai deformációt szenvedett.
768,2023-09-13,Fúró-12,Firmware inkompatibilitás frissítés után.
769,2023-09-14,Robot 2,A berendezés érzékelője hamis riasztásokat generál.
770,2023-09-14,Szállítószalag-Z,Hirtelen áramfelvétel-növekedés figyelhető meg.
771,2023-09-14,Hegesztő-XL,A pneumatikus csatlakozók között nyomásveszteség tapasztalható.
772,2023-09-15,Lézeres Vágó-B,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
773,2023-09-15,Hidraulikus prés-4,Túlzott zaj a fogaskerék mechanizmusból.
774,2023-09-15,Emelőkar-X,Firmware inkompatibilitás frissítés után.
775,2023-09-16,CNC-7,Hirtelen áramfelvétel-növekedés figyelhető meg.
776,2023-09-16,Présgép-1,A vészleállító gomb nem működött megfelelően.
777,2023-09-16,Maró-2,Túlmelegedett a hajtómotor működés közben.
778,2023-09-17,Fúró-12,A lánchajtás mechanikai deformációt szenvedett.
779,2023-09-17,Hidraulikus prés-4,A feszültségszabályozó hibásan működik.
780,2023-09-17,Lézeres Vágó-A,Az érzékelők jelzése nem egyezik a valós pozícióval.
781,2023-09-18,Szállítószalag-Z,A szoftver modul inkompatibilitása miatt a rendszer nem indítható.
782,2023-09-18,Szállítószalag-B,A hálózati csatlakozónál magas hőmérsékletet észleltek.
783,2023-09-18,Szenzorvezérlő-1,Törött tömítés az olajtartályon.
784,2023-09-19,Optikai Mérő-2,Túlzott zaj a fogaskerék mechanizmusból.
785,2023-09-19,Robot 2,Az elektrohidraulikus szelep elakadt működés közben.
786,2023-09-19,Hegesztő-1,A gépdiagnosztikai teszt során kommunikációs hibát észleltek.
787,2023-09-20,Szállítószalag-C,Beragadt működtető a lift mechanizmusban.
788,2023-09-20,Maró-Z,Kopott fogaskerék cseréje szükséges.
789,2023-09-20,Fúró-12,Túlmelegedett a hajtómotor működés közben.
790,2023-09-21,Emelőkar-3,Áramkimaradás történt a vezérlőegységnél.
791,2023-09-21,Fúró-5,A motor túlmelegedett és leállt.
792,2023-09-21,Szenzorvezérlő-3,A csapágyak extrém kopást mutatnak.
793,2023-09-22,CNC-7,A vészleállító ok nélkül aktiválódott.
794,2023-09-22,Maró-Z,A rendszer kritikus memóriahibát észlelt.
795,2023-09-22,Szállítószalag-C,A szivattyú működése közben szokatlan zaj hallható.
796,2023-09-23,Robot Delta,A robotkar mozgása akadozik.
797,2023-09-23,Présgép-1,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
798,2023-09-23,Hegesztő-XL,A rendszer kritikus memóriahibát észlelt.
799,2023-09-24,Emelőkar-3,Hűtőrendszer meghibásodás jelentve.
800,2023-09-24,Szenzorvezérlő-Beta,Az eszköz firmware-jének újraindítása sikertelen volt.
801,2023-09-24,Présgép-Plus,Az érzékelők jelzése nem egyezik a valós pozícióval.
802,2023-09-25,Présgép-Plus,A vezérlőpanel időnként nem reagál.
803,2023-09-25,Maró-Z,A vészjelző rendszer váratlan hibát jelzett.
804,2023-09-25,Lézeres Vágó-Pro,A feszültségszabályozó hibásan működik.
805,2023-09-26,CNC-3,A vibrációérzékelő határérték feletti értéket mutatott.
806,2023-09-26,Emelőkar-Pro,A szinkronizáció megszakadt a vezérlőegységek között.
807,2023-09-26,Optikai Mérő-2,A kenőrendszer olajszintje az alsó határérték alá csökkent.
808,2023-09-27,CNC-3,Az integrált áramkör hőtúlterhelést kapott.
809,2023-09-27,CNC-Pro,A hőmérséklet meghaladja a biztonságos határt.
810,2023-09-27,Szállítószalag-C,A szervomotor nem tartja a beállított pozíciót.
811,2023-09-28,Présgép-1,Az elektrohidraulikus szelep elakadt működés közben.
812,2023-09-28,Emelőkar-X,Túlzott zaj a fogaskerék mechanizmusból.
813,2023-09-28,Maró-2,A csatlakozók oxidációs nyomokat mutatnak.
814,2023-09-29,Présgép-Plus,Porfelhalmozódás az optikai szenzoron.
815,2023-09-29,Présgép-1,A szervomotor nem tartja a beállított pozíciót.
816,2023-09-29,Szenzorvezérlő-1,Laza csatlakozás a fő tápbemeneten.
817,2023-09-30,Szállítószalag-7,Firmware inkompatibilitás frissítés után.
818,2023-09-30,Szállítószalag-Z,Az üzemanyag-ellátó rendszer nyomásingadozást tapasztalt.
819,2023-09-30,Robot X,A hőmérséklet érzékelő nem reagál a tesztparancsokra.
820,2023-10-01,Lézeres Vágó-Pro,A robotvezérlő és a mechanika szinkronizációja megszakadt.
821,2023-10-01,Hidraulikus prés-10,Túláramvédelem ismételten aktiválódik.
822,2023-10-01,Hegesztő-MAX,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
823,2023-10-02,CNC-Micro,Az elektrohidraulikus szelep elakadt működés közben.
824,2023-10-02,Robot X,A PLC vezérlőegység áramszünet miatt újraindult.
825,2023-10-02,Hidraulikus prés-Y,Az olajszűrő rendszer eltömődött.
826,2023-10-03,Optikai Mérő-X,Hűtőrendszer meghibásodás jelentve.
827,2023-10-03,Robot 2,Rendellenes rezgés működés közben.
828,2023-10-03,Lézeres Vágó-A,A hűtőventilátor fordulatszáma csökkent.
829,2023-10-04,Présgép-9,A pneumatikus csatlakozók között nyomásveszteség tapasztalható.
830,2023-10-04,CNC-Micro,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
831,2023-10-04,Emelőkar-3,Alacsony hidraulikus nyomás észlelve.
832,2023-10-05,Maró-8,Gyakori olajszivárgás a hajtótengely közelében.
833,2023-10-05,Hidraulikus prés-Y,Az alkatrész érzékelő hibás adatokat továbbít.
834,2023-10-05,Maró-Z,A motor túlmelegedett és leállt.
835,2023-10-06,Szállítószalag-B,A pneumatikus rendszer tömítetlenséget mutat.
836,2023-10-06,Robot 2,A gépindítás közben váratlan rendszerindítás történt.
837,2023-10-06,Lézeres Vágó-Pro,A hálózati csatlakozónál magas hőmérsékletet észleltek.
838,2023-10-07,Optikai Mérő-X,Firmware inkompatibilitás frissítés után.
839,2023-10-07,Robot 2,A szivattyú működése közben szokatlan zaj hallható.
840,2023-10-07,Szenzorvezérlő-3,A vészleállító gomb nem működött megfelelően.
841,2023-10-08,Szállítószalag-Z,A láncmechanizmus meghibásodott.
842,2023-10-08,Optikai Mérő-X,Az olajszűrő rendszer eltömődött.
843,2023-10-08,CNC-Pro,Törött tömítés az olajtartályon.
844,2023-10-09,Robot 2,A feszültségszabályozó hibásan működik.
845,2023-10-09,CNC-Micro,A csatlakozók oxidációs nyomokat mutatnak.
846,2023-10-09,Hegesztő-XL,Nem reagál az érintőképernyő a vezérlőpanelen.
847,2023-10-10,Maró-2,Az elektrohidraulikus szelep elakadt működés közben.
848,2023-10-10,Optikai Mérő-Delta,A hőmérséklet meghaladja a biztonságos határt.
849,2023-10-10,Hegesztő-1,Az elektromos motor szénkeféi elhasználódtak.
850,2023-10-11,Robot 2,Az integrált áramkör hőtúlterhelést kapott.
851,2023-10-11,Fúró-X,Túláramvédelem ismételten aktiválódik.
852,2023-10-11,Fúró-5,A robotkar mozgása akadozik.
853,2023-10-12,Hegesztő-MAX,Szenzorhiba hibás vezetékezés miatt.
854,2023-10-12,Hegesztő-1,A csatlakozók oxidációs nyomokat mutatnak.
855,2023-10-12,Szállítószalag-B,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
856,2023-10-13,Optikai Mérő-X,A pneumatikus rendszer tömítetlenséget mutat.
857,2023-10-13,Fúró-MAX,Alacsony hidraulikus nyomás észlelve.
858,2023-10-13,Lézeres Vágó-Pro,A kenőrendszer olajszintje az alsó határérték alá csökkent.
859,2023-10-14,Szenzorvezérlő-1,Túlmelegedett a hajtómotor működés közben.
860,2023-10-14,Maró-8,A robotkar mozgása akadozik.
861,2023-10-14,Optikai Mérő-2,Az adagoló rendszerben eltömődés történt.
862,2023-10-15,Hidraulikus prés-Y,Túlzott zaj a fogaskerék mechanizmusból.
863,2023-10-15,Robot Alpha,A szervomotor nem tartja a beállított pozíciót.
864,2023-10-15,Optikai Mérő-X,A szállítószalag lánca megszakadt.
865,2023-10-16,CNC-7,A hálózati csatlakozónál magas hőmérsékletet észleltek.
866,2023-10-16,Robot X,A szoftver modul inkompatibilitása miatt a rendszer nem indítható.
867,2023-10-16,Robot Alpha,A szenzor kalibrálása sikertelen volt.
868,2023-10-17,Robot Alpha,A vészleállító ok nélkül aktiválódott.
869,2023-10-17,Présgép-Plus,Az olajszűrő rendszer eltömődött.
870,2023-10-17,Hegesztő-XL,A rendszer kritikus memóriahibát észlelt.
871,2023-10-18,Emelőkar-3,Beragadt működtető a lift mechanizmusban.
872,2023-10-18,Présgép-1,Az automatizált szoftverfrissítés során hibakódot jelezett.
873,2023-10-18,Emelőkar-Pro,A hálózati csatlakozónál magas hőmérsékletet észleltek.
874,2023-10-19,Szenzorvezérlő-1,A hálózati csatlakozónál magas hőmérsékletet észleltek.
875,2023-10-19,Szenzorvezérlő-Beta,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
876,2023-10-19,Optikai Mérő-2,A robotvezérlő és a mechanika szinkronizációja megszakadt.
877,2023-10-20,Szállítószalag-B,Az olajszűrő rendszer eltömődött.
878,2023-10-20,Szenzorvezérlő-3,A robotkar mozgása akadozik.
879,2023-10-20,Lézeres Vágó-A,Az elektrohidraulikus szelep elakadt működés közben.
880,2023-10-21,Szenzorvezérlő-1,Az elektrohidraulikus szelep elakadt működés közben.
881,2023-10-21,Hidraulikus prés-4,Túlzott zaj a fogaskerék mechanizmusból.
882,2023-10-21,Szállítószalag-7,Porfelhalmozódás az optikai szenzoron.
883,2023-10-22,Robot 2,A hőcserélő szivárog a csatlakozási pontnál.
884,2023-10-22,Szállítószalag-C,Az eszköz firmware-jének újraindítása sikertelen volt.
885,2023-10-22,Hegesztő-MAX,Igazítási probléma a robotkarban.
886,2023-10-23,Optikai Mérő-X,Laza csatlakozás a fő tápbemeneten.
887,2023-10-23,Hidraulikus prés-Y,A pneumatikus rendszer tömítetlenséget mutat.
888,2023-10-23,Fúró-12,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
889,2023-10-24,Szállítószalag-Z,Törött tömítés az olajtartályon.
890,2023-10-24,Hegesztő-1,A motor túlmelegedett és leállt.
891,2023-10-24,Robot 2,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
892,2023-10-25,Hidraulikus prés-4,Alacsony hidraulikus nyomás észlelve.
893,2023-10-25,Optikai Mérő-2,A vezérlőpanel időnként nem reagál.
894,2023-10-25,Lézeres Vágó-A,A kenőrendszer olajszintje az alsó határérték alá csökkent.
895,2023-10-26,Optikai Mérő-X,Alacsony hidraulikus nyomás észlelve.
896,2023-10-26,Robot Delta,A PLC vezérlőegység áramszünet miatt újraindult.
897,2023-10-26,Fúró-5,Az alkatrész érzékelő hibás adatokat továbbít.
898,2023-10-27,CNC-Micro,Nem reagál az érintőképernyő a vezérlőpanelen.
899,2023-10-27,Optikai Mérő-2,Laza csatlakozás a fő tápbemeneten.
900,2023-10-27,Lézeres Vágó-A,Az adagoló rendszerben eltömődés történt.
901,2023-10-28,CNC-Pro,A pneumatikus rendszer tömítetlenséget mutat.
902,2023-10-28,Emelőkar-Pro,Hidraulikus szivattyú meghibásodás a ciklus során.
903,2023-10-28,Szállítószalag-Z,Túlzott zaj a fogaskerék mechanizmusból.
904,2023-10-29,Hegesztő-XL,Firmware inkompatibilitás frissítés után.
905,2023-10-29,Fúró-MAX,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
906,2023-10-29,Hidraulikus prés-Y,A rendszer kritikus memóriahibát észlelt.
907,2023-10-30,Maró-Z,Az adagoló rendszerben eltömődés történt.
908,2023-10-30,Fúró-MAX,A vákuumrendszer szivárgást jelez.
909,2023-10-30,Emelőkar-X,Az áramellátás stabilitása nem garantálható a jelenlegi terhelés mellett.
910,2023-10-31,Szállítószalag-Z,Az elektrohidraulikus szelep elakadt működés közben.
911,2023-10-31,Fúró-12,A robotvezérlő és a mechanika szinkronizációja megszakadt.
912,2023-10-31,Szenzorvezérlő-Beta,A rendszer kritikus memóriahibát észlelt.
913,2023-11-01,Optikai Mérő-X,Porfelhalmozódás az optikai szenzoron.
914,2023-11-01,Szenzorvezérlő-3,A gépindítás közben váratlan rendszerindítás történt.
915,2023-11-01,Hegesztő-1,Áramkimaradás történt a vezérlőegységnél.
916,2023-11-02,Lézeres Vágó-B,Váratlan leállás szoftverhiba miatt.
917,2023-11-02,Hegesztő-XL,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
918,2023-11-02,Présgép-9,A vészjelző rendszer váratlan hibát jelzett.
919,2023-11-03,Emelőkar-Pro,A szállítószalag lánca megszakadt.
920,2023-11-03,Robot Alpha,Az adagoló rendszerben eltömődés történt.
921,2023-11-03,Fúró-MAX,A vészleállító ok nélkül aktiválódott.
922,2023-11-04,Optikai Mérő-Delta,A szállítószalag lánca megszakadt.
923,2023-11-04,CNC-Micro,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
924,2023-11-04,Fúró-5,Igazítási probléma a robotkarban.
925,2023-11-05,Hegesztő-XL,Szenzorhiba hibás vezetékezés miatt.
926,2023-11-05,Optikai Mérő-X,A szoftver modul inkompatibilitása miatt a rendszer nem indítható.
927,2023-11-05,Szállítószalag-C,A robotkar mozgása akadozik.
928,2023-11-06,Lézeres Vágó-A,A motor túlmelegedett és leállt.
929,2023-11-06,Maró-8,A kenőrendszer olajszintje az alsó határérték alá csökkent.
930,2023-11-06,Robot Alpha,A feszültségszabályozó hibásan működik.
931,2023-11-07,Hegesztő-1,Az érzékelők jelzése nem egyezik a valós pozícióval.
932,2023-11-07,Fúró-5,Igazítási probléma a robotkarban.
933,2023-11-07,Maró-2,Az eszköz firmware-jének újraindítása sikertelen volt.
934,2023-11-08,Emelőkar-X,A pneumatikus csatlakozók között nyomásveszteség tapasztalható.
935,2023-11-08,Szállítószalag-C,Hirtelen áramfelvétel-növekedés figyelhető meg.
936,2023-11-08,Szállítószalag-7,Az érzékelők jelzése nem egyezik a valós pozícióval.
937,2023-11-09,Hidraulikus prés-Y,A hőmérséklet érzékelő nem reagál a tesztparancsokra.
938,2023-11-09,CNC-7,Az elektromos motor szénkeféi elhasználódtak.
939,2023-11-09,Emelőkar-Pro,A süllyesztő mechanizmus belső csapágyai sérültek.
940,2023-11-10,Maró-2,Az automatizált szoftverfrissítés során hibakódot jelezett.
941,2023-11-10,Hidraulikus prés-4,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
942,2023-11-10,Hegesztő-XL,A vákuumrendszer szivárgást jelez.
943,2023-11-11,Szállítószalag-C,Az eszköz firmware-jének újraindítása sikertelen volt.
944,2023-11-11,Hidraulikus prés-Y,Az elektromos motor szénkeféi elhasználódtak.
945,2023-11-11,Fúró-MAX,A láncvezető kopás miatt nem működik megfelelően.
946,2023-11-12,Szállítószalag-Z,Kopott fogaskerék cseréje szükséges.
947,2023-11-12,Présgép-Plus,Hűtőrendszer meghibásodás jelentve.
948,2023-11-12,Robot Delta,A szenzor kalibrálása sikertelen volt.
949,2023-11-13,CNC-7,A kenőrendszer olajszintje az alsó határérték alá csökkent.
950,2023-11-13,Maró-Z,Az alkatrész érzékelő hibás adatokat továbbít.
951,2023-11-13,Lézeres Vágó-Pro,A pneumatikus csatlakozók között nyomásveszteség tapasztalható.
952,2023-11-14,Hegesztő-1,A robotvezérlő és a mechanika szinkronizációja megszakadt.
953,2023-11-14,Szenzorvezérlő-Beta,A szállítószalag lánca megszakadt.
954,2023-11-14,Maró-8,Az optikai érzékelőt zsírréteg borítja.
955,2023-11-15,Szállítószalag-Z,Az eszköz firmware-jének újraindítása sikertelen volt.
956,2023-11-15,Maró-2,A robotvezérlő és a mechanika szinkronizációja megszakadt.
957,2023-11-15,Emelőkar-Pro,Az adagoló rendszerben eltömődés történt.
958,2023-11-16,Optikai Mérő-X,Firmware inkompatibilitás frissítés után.
959,2023-11-16,Szállítószalag-B,A szivattyú működése közben szokatlan zaj hallható.
960,2023-11-16,Optikai Mérő-X,A hőcserélő szivárog a csatlakozási pontnál.
961,2023-11-17,Hidraulikus prés-4,A szivattyú működése közben szokatlan zaj hallható.
962,2023-11-17,Lézeres Vágó-B,Firmware inkompatibilitás frissítés után.
963,2023-11-17,Szállítószalag-C,A szenzor kalibrálása sikertelen volt.
964,2023-11-18,Optikai Mérő-Delta,Laza csatlakozás a fő tápbemeneten.
965,2023-11-18,Optikai Mérő-X,A feszültségszabályozó hibásan működik.
966,2023-11-18,Szenzorvezérlő-3,Az adagoló rendszerben eltömődés történt.
967,2023-11-19,Présgép-1,A gépindítás közben váratlan rendszerindítás történt.
968,2023-11-19,Maró-Z,Kopott fogaskerék cseréje szükséges.
969,2023-11-19,Optikai Mérő-Delta,Az integrált áramkör hőtúlterhelést kapott.
970,2023-11-20,Présgép-Plus,Firmware inkompatibilitás frissítés után.
971,2023-11-20,Présgép-Plus,A szállítószalag lánca megszakadt.
972,2023-11-20,Fúró-5,Igazítási probléma a robotkarban.
973,2023-11-21,Emelőkar-3,A csapágyak extrém kopást mutatnak.
974,2023-11-21,Szenzorvezérlő-Beta,Hirtelen áramfelvétel-növekedés figyelhető meg.
975,2023-11-21,Emelőkar-3,Kopott fogaskerék cseréje szükséges.
976,2023-11-22,CNC-Micro,A hálózati csatlakozónál magas hőmérsékletet észleltek.
977,2023-11-22,Fúró-MAX,A gépdiagnosztikai teszt során kommunikációs hibát észleltek.
978,2023-11-22,CNC-3,Az energiafogyasztás jelentősen megnőtt az elmúlt ciklusban.
979,2023-11-23,Fúró-MAX,A süllyesztő mechanizmus belső csapágyai sérültek.
980,2023-11-23,Robot Alpha,Beragadt működtető a lift mechanizmusban.
981,2023-11-23,Szállítószalag-B,A hűtőventilátor fordulatszáma csökkent.
982,2023-11-24,Présgép-1,Az optikai érzékelőt zsírréteg borítja.
983,2023-11-24,Robot Delta,A vibrációérzékelő határérték feletti értéket mutatott.
984,2023-11-24,Optikai Mérő-2,Az elektrohidraulikus szelep elakadt működés közben.
985,2023-11-25,Robot X,Az elektrohidraulikus szelep elakadt működés közben.
986,2023-11-25,Emelőkar-X,A vibrációérzékelő határérték feletti értéket mutatott.
987,2023-11-25,Présgép-1,Az üzemanyag-ellátó rendszer nyomásingadozást tapasztalt.
988,2023-11-26,Fúró-X,A gépindítás közben váratlan rendszerindítás történt.
989,2023-11-26,Emelőkar-Pro,A vészjelző rendszer váratlan hibát jelzett.
990,2023-11-26,Maró-8,Az érzékelők jelzése nem egyezik a valós pozícióval.
991,2023-11-27,Robot 2,Az üzemanyag-ellátó rendszer nyomásingadozást tapasztalt.
992,2023-11-27,Maró-2,Túláramvédelem ismételten aktiválódik.
993,2023-11-27,Maró-Z,Az energiafogyasztás jelentősen megnőtt az elmúlt ciklusban.
994,2023-11-28,Robot 2,A berendezés érzékelője hamis riasztásokat generál.
995,2023-11-28,Emelőkar-3,A láncvezető kopás miatt nem működik megfelelően.
996,2023-11-28,Présgép-9,A berendezés érzékelője hamis riasztásokat generál.
997,2023-11-29,Szenzorvezérlő-3,A hőcserélő szivárog a csatlakozási pontnál.
998,2023-11-29,Hidraulikus prés-4,A szervomotor nem tartja a beállított pozíciót.
999,2023-11-29,Lézeres Vágó-A,Az elektromos motor szénkeféi elhasználódtak.
1000,2023-11-30,Présgép-Plus,A kenőrendszer olajszintje az alsó határérték alá csökkent.
